"region","depot","item_no","tms","ams","month","year"
"SW","ABEOKUTA","10098890",0,0,8,2022
"SW","ABEOKUTA","10098890",0,0,9,2022
"SW","ABEOKUTA","10098890",0,0,10,2022
"SW","ABEOKUTA","10098890",0,0,11,2022
"SW","ABEOKUTA","10098890",0,0,12,2022
"SW","ABEOKUTA","108880",79.0454,39.5227,1,2022
"SW","ABEOKUTA","108880",70.1434285714286,35.0717142857143,2,2022
"SW","ABEOKUTA","108880",62.218064516129,31.1090322580645,3,2022
"SW","ABEOKUTA","108880",86.8147333333333,43.4073666666667,4,2022
"SW","ABEOKUTA","108880",67.2570322580645,33.6285161290323,5,2022
"SW","ABEOKUTA","108880",46.2061333333333,23.1030666666667,6,2022
"SW","ABEOKUTA","108880",52.1458709677419,26.072935483871,7,2022
"SW","ABEOKUTA","108880",69.3184516129032,34.6592258064516,8,2022
"SW","ABEOKUTA","108880",61.7303333333333,30.8651666666667,9,2022
"SW","ABEOKUTA","108880",41.7992258064516,20.8996129032258,10,2022
"SW","ABEOKUTA","108880",40.37,20.185,11,2022
"SW","ABEOKUTA","108880",49.9631428571429,24.9815714285714,12,2022
"SW","ABEOKUTA","10980611",0.012,0.006,2,2022
"SW","ABEOKUTA","10980611",0.126129032258065,0.0630645161290323,3,2022
"SW","ABEOKUTA","10980611",0.4808,0.2404,4,2022
"SW","ABEOKUTA","10980611",0.539806451612903,0.269903225806452,5,2022
"SW","ABEOKUTA","10980611",0.247533333333333,0.123766666666667,6,2022
"SW","ABEOKUTA","10980611",0.0654838709677419,0.032741935483871,7,2022
"SW","ABEOKUTA","10980611",0,0,8,2022
"SW","ABEOKUTA","10980611",0,0,9,2022
"SW","ABEOKUTA","10980611",0,0,10,2022
"SW","ABEOKUTA","10980611",0,0,11,2022
"SW","ABEOKUTA","10980611",0,0,12,2022
"SW","ABEOKUTA","10983534",0.4212,0.2106,1,2022
"SW","ABEOKUTA","10983534",0.373642857142857,0.186821428571429,2,2022
"SW","ABEOKUTA","10983534",0.350451612903226,0.175225806451613,3,2022
"SW","ABEOKUTA","10983534",0.324866666666667,0.162433333333333,4,2022
"SW","ABEOKUTA","10983534",0.348064516129032,0.174032258064516,5,2022
"SW","ABEOKUTA","10983534",0.392666666666667,0.196333333333333,6,2022
"SW","ABEOKUTA","10983534",0.306129032258065,0.153064516129032,7,2022
"SW","ABEOKUTA","10983534",0.240444444444444,0.120222222222222,8,2022
"SW","ABEOKUTA","10983534",0.219333333333333,0.109666666666667,9,2022
"SW","ABEOKUTA","10983534",0.112967741935484,0.0564838709677419,10,2022
"SW","ABEOKUTA","10983534",0.0796666666666667,0.0398333333333333,11,2022
"SW","ABEOKUTA","10983534",0.135142857142857,0.0675714285714286,12,2022
"SW","ABEOKUTA","113441",2.1508,1.0754,1,2022
"SW","ABEOKUTA","113441",2.55507142857143,1.27753571428571,2,2022
"SW","ABEOKUTA","113441",4.91038709677419,2.4551935483871,3,2022
"SW","ABEOKUTA","113441",5.89213333333333,2.94606666666667,4,2022
"SW","ABEOKUTA","113441",3.74451612903226,1.87225806451613,5,2022
"SW","ABEOKUTA","113441",2.35086666666667,1.17543333333333,6,2022
"SW","ABEOKUTA","113441",2.51232258064516,1.25616129032258,7,2022
"SW","ABEOKUTA","113441",4.37548387096774,2.18774193548387,8,2022
"SW","ABEOKUTA","113441",3.7168,1.8584,9,2022
"SW","ABEOKUTA","113441",2.35741935483871,1.17870967741935,10,2022
"SW","ABEOKUTA","113441",1.37393333333333,0.686966666666667,11,2022
"SW","ABEOKUTA","113441",1.22961904761905,0.614809523809524,12,2022
"SW","ABEOKUTA","BHF20HLK",154.1796,77.0898,1,2022
"SW","ABEOKUTA","BHF20HLK",177.796428571429,88.8982142857143,2,2022
"SW","ABEOKUTA","BHF20HLK",161.316387096774,80.6581935483871,3,2022
"SW","ABEOKUTA","BHF20HLK",142.996,71.498,4,2022
"SW","ABEOKUTA","BHF20HLK",105.03664516129,52.5183225806452,5,2022
"SW","ABEOKUTA","BHF20HLK",76.5786666666667,38.2893333333333,6,2022
"SW","ABEOKUTA","BHF20HLK",69.6867741935484,34.8433870967742,7,2022
"SW","ABEOKUTA","BHF20HLK",92.6670322580645,46.3335161290323,8,2022
"SW","ABEOKUTA","BHF20HLK",105.347666666667,52.6738333333333,9,2022
"SW","ABEOKUTA","BHF20HLK",84.418064516129,42.2090322580645,10,2022
"SW","ABEOKUTA","BHF20HLK",74.5437333333333,37.2718666666667,11,2022
"SW","ABEOKUTA","BHF20HLK",79.5055238095238,39.7527619047619,12,2022
"SW","ABEOKUTA","D108881",3.44,1.72,1,2022
"SW","ABEOKUTA","D108881",3.43828571428571,1.71914285714286,2,2022
"SW","ABEOKUTA","D108881",3.59290322580645,1.79645161290323,3,2022
"SW","ABEOKUTA","D108881",3.38686666666667,1.69343333333333,4,2022
"SW","ABEOKUTA","D108881",2.64103225806452,1.32051612903226,5,2022
"SW","ABEOKUTA","D108881",2.48446666666667,1.24223333333333,6,2022
"SW","ABEOKUTA","D108881",2.06993548387097,1.03496774193548,7,2022
"SW","ABEOKUTA","D108881",1.91722580645161,0.958612903225807,8,2022
"SW","ABEOKUTA","D108881",2.37986666666667,1.18993333333333,9,2022
"SW","ABEOKUTA","D108881",2.12967741935484,1.06483870967742,10,2022
"SW","ABEOKUTA","D108881",1.90226666666667,0.951133333333333,11,2022
"SW","ABEOKUTA","D108881",2.58085714285714,1.29042857142857,12,2022
"SW","ABEOKUTA","HIT20NG",0,0,1,2022
"SW","ABEOKUTA","HIT20NG",0,0,2,2022
"SW","ABEOKUTA","HIT20NG",0,0,3,2022
"SW","ABEOKUTA","HIT20NG",0,0,4,2022
"SW","ABEOKUTA","HIT20NG",0,0,5,2022
"SW","ABEOKUTA","HIT20NG",0,0,6,2022
"SW","ABEOKUTA","HIT20NG",0,0,7,2022
"SW","ABEOKUTA","HIT20NG",0,0,8,2022
"SW","ABEOKUTA","HIT20NG",0,0,9,2022
"SW","ABEOKUTA","HIT20NG",0,0,10,2022
"SW","ABEOKUTA","HIT20NG",0,0,11,2022
"SW","ABEOKUTA","HIT20NG",0,0,12,2022
